location,event_stage,teamH,scoreTH,teamA,scoreTA,event_status,time,event_url,discipline_code,teamH_code,teamA_code,sex
National Aquatics Centre - Sheet C,Mixed Doubles Round Robin Session 13,United States of America,GBRGreat Britain,,,,2022-02-07T09:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-001303-.htm,CUR,USA,,Mixed
National Aquatics Centre - Sheet D,Mixed Doubles Round Robin Session 13,Czech Republic,CHNPeople's Republic of China,,,,2022-02-07T09:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-001304-.htm,CUR,CZE,,Mixed
National Aquatics Centre - Sheet A,Mixed Doubles Semi-final,,,,,,2022-02-07T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-sfnl-000102-.htm,CUR,,,Mixed
National Aquatics Centre - Sheet C,Mixed Doubles Semi-final,Italy,TBD,,,,2022-02-07T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-sfnl-000101-.htm,CUR,ITA,,Mixed
National Aquatics Centre - Sheet B,Mixed Doubles Bronze Medal Game,,,,,,2022-02-08T14:05:00+08:00,../../../en/results/curling/results-mixed-doubles-fnl-000201-.htm,CUR,LSF,,Mixed
National Aquatics Centre - Sheet B,Mixed Doubles Gold Medal Game,,,,,,2022-02-08T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-fnl-000101-.htm,CUR,WSF,,Mixed
National Aquatics Centre - Sheet A,Men's Round Robin Session 1,Denmark,CANCanada,,,,2022-02-09T20:05:00+08:00,../../../en/results/curling/results-men-prel-000101-.htm,CUR,DEN,,Men's
National Aquatics Centre - Sheet B,Men's Round Robin Session 1,United States of America,ROCROC,,,,2022-02-09T20:05:00+08:00,../../../en/results/curling/results-men-prel-000102-.htm,CUR,USA,,Men's
National Aquatics Centre - Sheet C,Men's Round Robin Session 1,Norway,SUISwitzerland,,,,2022-02-09T20:05:00+08:00,../../../en/results/curling/results-men-prel-000103-.htm,CUR,NOR,,Men's
National Aquatics Centre - Sheet D,Men's Round Robin Session 1,People's Republic of China,SWESweden,,,,2022-02-09T20:05:00+08:00,../../../en/results/curling/results-men-prel-000104-.htm,CUR,CHN,,Men's
National Aquatics Centre - Sheet A,Women's Round Robin Session 1,Great Britain,SUISwitzerland,,,,2022-02-10T09:05:00+08:00,../../../en/results/curling/results-women-prel-000101-.htm,CUR,GBR,,Women's
National Aquatics Centre - Sheet B,Women's Round Robin Session 1,Denmark,CHNPeople's Republic of China,,,,2022-02-10T09:05:00+08:00,../../../en/results/curling/results-women-prel-000102-.htm,CUR,DEN,,Women's
National Aquatics Centre - Sheet C,Women's Round Robin Session 1,Sweden,JPNJapan,,,,2022-02-10T09:05:00+08:00,../../../en/results/curling/results-women-prel-000103-.htm,CUR,SWE,,Women's
National Aquatics Centre - Sheet D,Women's Round Robin Session 1,ROC,USAUnited States of America,,,,2022-02-10T09:05:00+08:00,../../../en/results/curling/results-women-prel-000104-.htm,CUR,ROC,,Women's
National Aquatics Centre - Sheet A,Men's Round Robin Session 2,United States of America,SWESweden,,,,2022-02-10T14:05:00+08:00,../../../en/results/curling/results-men-prel-000201-.htm,CUR,USA,,Men's
National Aquatics Centre - Sheet B,Men's Round Robin Session 2,Norway,CANCanada,,,,2022-02-10T14:05:00+08:00,../../../en/results/curling/results-men-prel-000202-.htm,CUR,NOR,,Men's
National Aquatics Centre - Sheet C,Men's Round Robin Session 2,People's Republic of China,ROCROC,,,,2022-02-10T14:05:00+08:00,../../../en/results/curling/results-men-prel-000203-.htm,CUR,CHN,,Men's
National Aquatics Centre - Sheet D,Men's Round Robin Session 2,Great Britain,ITAItaly,,,,2022-02-10T14:05:00+08:00,../../../en/results/curling/results-men-prel-000204-.htm,CUR,GBR,,Men's
National Aquatics Centre - Sheet A,Women's Round Robin Session 2,Canada,KORRepublic of Korea,,,,2022-02-10T20:05:00+08:00,../../../en/results/curling/results-women-prel-000201-.htm,CUR,CAN,,Women's
National Aquatics Centre - Sheet B,Women's Round Robin Session 2,Sweden,GBRGreat Britain,,,,2022-02-10T20:05:00+08:00,../../../en/results/curling/results-women-prel-000202-.htm,CUR,SWE,,Women's
National Aquatics Centre - Sheet C,Women's Round Robin Session 2,United States of America,DENDenmark,,,,2022-02-10T20:05:00+08:00,../../../en/results/curling/results-women-prel-000203-.htm,CUR,USA,,Women's
National Aquatics Centre - Sheet D,Women's Round Robin Session 2,People's Republic of China,SUISwitzerland,,,,2022-02-10T20:05:00+08:00,../../../en/results/curling/results-women-prel-000204-.htm,CUR,CHN,,Women's
National Aquatics Centre - Sheet A,Men's Round Robin Session 3,Switzerland,ROCROC,,,,2022-02-11T09:05:00+08:00,../../../en/results/curling/results-men-prel-000301-.htm,CUR,SUI,,Men's
National Aquatics Centre - Sheet B,Men's Round Robin Session 3,Great Britain,USAUnited States of America,,,,2022-02-11T09:05:00+08:00,../../../en/results/curling/results-men-prel-000302-.htm,CUR,GBR,,Men's
National Aquatics Centre - Sheet C,Men's Round Robin Session 3,Sweden,ITAItaly,,,,2022-02-11T09:05:00+08:00,../../../en/results/curling/results-men-prel-000303-.htm,CUR,SWE,,Men's
National Aquatics Centre - Sheet D,Men's Round Robin Session 3,Denmark,CHNPeople's Republic of China,,,,2022-02-11T09:05:00+08:00,../../../en/results/curling/results-men-prel-000304-.htm,CUR,DEN,,Men's
National Aquatics Centre - Sheet A,Women's Round Robin Session 3,United States of America,CHNPeople's Republic of China,,,,2022-02-11T14:05:00+08:00,../../../en/results/curling/results-women-prel-000301-.htm,CUR,USA,,Women's
National Aquatics Centre - Sheet B,Women's Round Robin Session 3,Canada,JPNJapan,,,,2022-02-11T14:05:00+08:00,../../../en/results/curling/results-women-prel-000302-.htm,CUR,CAN,,Women's
National Aquatics Centre - Sheet C,Women's Round Robin Session 3,Switzerland,ROCROC,,,,2022-02-11T14:05:00+08:00,../../../en/results/curling/results-women-prel-000303-.htm,CUR,SUI,,Women's
National Aquatics Centre - Sheet D,Women's Round Robin Session 3,Republic of Korea,GBRGreat Britain,,,,2022-02-11T14:05:00+08:00,../../../en/results/curling/results-women-prel-000304-.htm,CUR,KOR,,Women's
National Aquatics Centre - Sheet B,Men's Round Robin Session 4,ROC,DENDenmark,,,,2022-02-11T20:05:00+08:00,../../../en/results/curling/results-men-prel-000402-.htm,CUR,ROC,,Men's
National Aquatics Centre - Sheet C,Men's Round Robin Session 4,Great Britain,NORNorway,,,,2022-02-11T20:05:00+08:00,../../../en/results/curling/results-men-prel-000403-.htm,CUR,GBR,,Men's
National Aquatics Centre - Sheet D,Men's Round Robin Session 4,Canada,SUISwitzerland,,,,2022-02-11T20:05:00+08:00,../../../en/results/curling/results-men-prel-000404-.htm,CUR,CAN,,Men's
National Aquatics Centre - Sheet A,Women's Round Robin Session 4,Sweden,CANCanada,,,,2022-02-12T09:05:00+08:00,../../../en/results/curling/results-women-prel-000401-.htm,CUR,SWE,,Women's
National Aquatics Centre - Sheet B,Women's Round Robin Session 4,Republic of Korea,ROCROC,,,,2022-02-12T09:05:00+08:00,../../../en/results/curling/results-women-prel-000402-.htm,CUR,KOR,,Women's
National Aquatics Centre - Sheet D,Women's Round Robin Session 4,Japan,DENDenmark,,,,2022-02-12T09:05:00+08:00,../../../en/results/curling/results-women-prel-000404-.htm,CUR,JPN,,Women's
National Aquatics Centre - Sheet A,Men's Round Robin Session 5,Italy,CHNPeople's Republic of China,,,,2022-02-12T14:05:00+08:00,../../../en/results/curling/results-men-prel-000501-.htm,CUR,ITA,,Men's
